#BioSample	Organism group	Scientific name	Isolation type	Location	Isolation source	Isolate	Antibiotic	Resistance phenotype	Measurement sign	MIC (mg/L)	Disk diffusion (mm)	Laboratory typing platform	Vendor	Laboratory typing method version or reagent	Testing standard	Create date
SAMN10620086	E.coli and Shigella	Escherichia coli	clinical	USA: Rochester, NY	urine	PDT000543226.1	ciprofloxacin	resistant	>=	4	NA	NA	NA	NA	CLSI	2019-07-12T10:50:50Z
SAMN04122821	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	blood	PDT000094020.2	ciprofloxacin	susceptible	==	1	NA	Vitek	Biomérieux	NA	CLSI	2015-11-10T21:17:47Z
SAMN04279649	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	blood	PDT000095190.3	ciprofloxacin	resistant	>=	4	NA	Vitek	Biomérieux	NA	CLSI	2015-12-01T17:20:17Z
SAMN04279648	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	blood	PDT000095270.3	ciprofloxacin	resistant	>=	4	NA	Vitek	Biomérieux	NA	CLSI	2015-12-01T17:20:17Z
SAMN04339728	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	blood	PDT000101131.2	ciprofloxacin	susceptible	==	1	NA	Vitek	Biomérieux	NA	CLSI	2016-01-02T12:22:35Z
SAMN04393387	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	urine	PDT000102017.2	ciprofloxacin	resistant	>=	4	NA	Vitek	Biomérieux	NA	CLSI	2016-01-13T19:22:10Z
SAMN04455486	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	comminuted beef	PDT000105018.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-03T20:23:26Z
SAMN04455488	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	product-raw-intact-beef	PDT000105030.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-04T09:23:48Z
SAMN04455487	E.coli and Shigella	Escherichia coli	environmental/other	USA:OH	product-raw-intact-beef	PDT000105031.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-04T09:23:48Z
SAMN04495823	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	product-raw-intact-beef	PDT000107153.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-16T16:22:38Z
SAMN04495824	E.coli and Shigella	Escherichia coli	environmental/other	USA:ID	product-raw-intact-beef	PDT000107177.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-16T17:23:26Z
SAMN04514654	E.coli and Shigella	Escherichia coli	environmental/other	USA:WI	comminuted beef	PDT000110621.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-24T17:25:20Z
SAMN04521101	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	product-raw-intact-beef	PDT000111287.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-29T12:25:10Z
SAMN04521102	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	comminuted beef	PDT000111288.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-29T12:25:10Z
SAMN04521103	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	product-raw-intact-beef	PDT000111292.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-02-29T12:25:10Z
SAMN04526076	E.coli and Shigella	Escherichia coli	environmental/other	USA:WI	comminuted beef	PDT000111543.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-02T12:27:18Z
SAMN04526077	E.coli and Shigella	Escherichia coli	environmental/other	USA:OH	comminuted beef	PDT000111544.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-02T12:27:18Z
SAMN04563576	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	comminuted beef	PDT000115170.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T13:16:35Z
SAMN04528908	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	product-raw-intact-beef	PDT000115244.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T18:12:06Z
SAMN04568568	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	comminuted beef	PDT000115246.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T19:12:09Z
SAMN04568567	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	comminuted beef	PDT000115252.5	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T19:12:09Z
SAMN04568570	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	comminuted beef	PDT000115254.5	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T19:12:09Z
SAMN04568569	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	comminuted beef	PDT000115255.5	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-03-18T19:12:10Z
SAMN04621601	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	comminuted beef	PDT000123487.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-08T11:13:28Z
SAMN04621605	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	comminuted beef	PDT000123488.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-08T11:13:29Z
SAMN04621603	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	comminuted beef	PDT000123491.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-08T11:13:29Z
SAMN04621602	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	comminuted beef	PDT000123493.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-08T11:13:29Z
SAMN04621604	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	comminuted beef	PDT000123496.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-08T11:13:29Z
SAMN04571741	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	urine	PDT000124856.2	ciprofloxacin	resistant	>=	4	NA	Vitek	Biomérieux	NA	CLSI	2016-04-12T18:10:23Z
SAMN04571742	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	urine	PDT000124857.2	ciprofloxacin	resistant	>=	4	NA	Vitek	Biomérieux	NA	CLSI	2016-04-12T18:10:24Z
SAMN04571743	E.coli and Shigella	Escherichia coli	clinical	USA:Boston	sputum	PDT000124858.2	ciprofloxacin	resistant	>=	64	NA	Vitek	Biomérieux	NA	CLSI	2016-04-12T18:10:24Z
SAMN04856230	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	product-raw-intact-beef	PDT000125270.4	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-14T15:11:15Z
SAMN04856231	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	product-raw-intact-beef	PDT000125273.4	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-14T15:11:15Z
SAMN04908468	E.coli and Shigella	Escherichia coli	environmental/other	USA:KS	product-raw-intact-beef	PDT000127702.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-27T13:12:14Z
SAMN04908471	E.coli and Shigella	Escherichia coli	environmental/other	USA:ID	product-raw-intact-beef	PDT000127703.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-27T13:12:14Z
SAMN04908472	E.coli and Shigella	Escherichia coli	environmental/other	USA:NE	product-raw-intact-beef	PDT000127704.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-04-27T13:12:14Z
SAMN04925767	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	product-raw-intact-beef	PDT000128349.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-02T15:13:51Z
SAMN04925766	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	product-raw-intact-beef	PDT000128352.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-02T15:13:51Z
SAMN04942587	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	product-raw-intact-beef	PDT000128743.3	ciprofloxacin	intermediate	==	0.25	NA	NA	NA	NA	CLSI	2016-05-04T16:14:10Z
SAMN04942588	E.coli and Shigella	Escherichia coli	environmental/other	USA:NY	comminuted beef	PDT000128744.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-04T16:14:10Z
SAMN04942586	E.coli and Shigella	Escherichia coli	environmental/other	USA:NY	product-raw-intact-beef	PDT000128745.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-04T16:14:10Z
SAMN05001756	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	product-raw-intact-beef	PDT000130524.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-17T14:14:24Z
SAMN05001754	E.coli and Shigella	Escherichia coli	environmental/other	USA:FL	comminuted beef	PDT000130525.4	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2024-02-21T16:00:14Z
SAMN05191775	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	product-raw-intact-beef	PDT000133413.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-05-31T21:15:31Z
SAMN05440605	E.coli and Shigella	Escherichia coli	environmental/other	USA:NJ	comminuted beef	PDT000141049.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-07-26T13:17:55Z
SAMN05440613	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	product-raw-intact-beef	PDT000141065.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-07-26T13:17:56Z
SAMN05440614	E.coli and Shigella	Escherichia coli	environmental/other	USA:NJ	product-raw-intact-beef	PDT000141066.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-07-26T13:17:56Z
SAMN05440606	E.coli and Shigella	Escherichia coli	environmental/other	USA:CA	comminuted beef	PDT000141069.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-07-26T14:18:34Z
SAMN05505568	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142907.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:41Z
SAMN05505569	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142908.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:41Z
SAMN05505572	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142910.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN05505570	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142911.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN05505567	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142912.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN05505574	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142913.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN05505571	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142914.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN05505573	E.coli and Shigella	Escherichia coli	environmental/other	USA:CO	comminuted beef	PDT000142915.3	ciprofloxacin	susceptible	<=	0.015	NA	NA	NA	NA	CLSI	2016-08-03T10:22:42Z
SAMN10221514	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000394796.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:07Z
SAMN10221515	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000394797.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:07Z
SAMN10221508	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000394798.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221509	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	ground turkey	PDT000394799.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221510	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Ground Beef	PDT000394800.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221511	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Pork Chops	PDT000394801.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221516	E.coli and Shigella	Escherichia coli	environmental/other	USA:SC	Pork Chops	PDT000394802.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221517	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Chicken Legs	PDT000394803.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:08Z
SAMN10221036	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Thighs	PDT000394804.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221037	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Whole - cut in lab	PDT000394805.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221034	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Wings	PDT000394806.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221035	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Wings	PDT000394807.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221032	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Breasts	PDT000394808.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221033	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Wings	PDT000394809.1	ciprofloxacin	nonsusceptible	==	0.12	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:09Z
SAMN10221030	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Mixed Parts	PDT000394810.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:10Z
SAMN10221031	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Wings	PDT000394811.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:10Z
SAMN10221028	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Thighs	PDT000394812.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:10Z
SAMN10221524	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Whole - cut in lab	PDT000394813.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:10Z
SAMN10221116	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394814.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221117	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394815.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221108	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394816.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221109	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394817.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221110	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394818.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221111	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Ground Beef	PDT000394819.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221112	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Pork Chops	PDT000394820.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:11Z
SAMN10221113	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Chicken Breasts	PDT000394821.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:12Z
SAMN10221114	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Chicken Breasts	PDT000394822.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:12Z
SAMN10221211	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	Chicken Breasts	PDT000394824.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:12Z
SAMN10221210	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	Chicken Breasts	PDT000394825.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:12Z
SAMN10221209	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	Ground Beef	PDT000394826.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:12Z
SAMN10221208	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	Ground Beef	PDT000394827.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221215	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	ground turkey	PDT000394828.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221214	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	Ground Beef	PDT000394829.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221213	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	ground turkey	PDT000394830.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221212	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	ground turkey	PDT000394831.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221350	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Ground Beef	PDT000394832.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:13Z
SAMN10221351	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	Pork Chops bone-in	PDT000394833.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:14Z
SAMN10221348	E.coli and Shigella	Escherichia coli	environmental/other	USA:OR	ground turkey	PDT000394834.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:14Z
SAMN10221216	E.coli and Shigella	Escherichia coli	environmental/other	USA:TN	ground turkey	PDT000394835.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:14Z
SAMN10221354	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000394836.1	ciprofloxacin	nonsusceptible	==	0.12	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:14Z
SAMN10221355	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Ground Beef	PDT000394837.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:14Z
SAMN10221352	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	Chicken Legs	PDT000394838.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221353	E.coli and Shigella	Escherichia coli	environmental/other	USA:PA	ground turkey	PDT000394839.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221189	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Ground Beef	PDT000394840.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221188	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	ground turkey	PDT000394841.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221518	E.coli and Shigella	Escherichia coli	environmental/other	USA:TX	Whole - cut in lab	PDT000394842.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221041	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000394843.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:15Z
SAMN10221040	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000394844.1	ciprofloxacin	resistant	>	4	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:16Z
SAMN10221039	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000394845.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:16Z
SAMN10221038	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Legs	PDT000394846.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:16Z
SAMN10221288	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	Chicken Legs	PDT000394847.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:16Z
SAMN10221376	E.coli and Shigella	Escherichia coli	environmental/other	USA:SD	Ground Beef	PDT000394848.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:16Z
SAMN10221043	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000394849.1	ciprofloxacin	susceptible	<=	0.015	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:17Z
SAMN10221042	E.coli and Shigella	Escherichia coli	environmental/other	USA:IA	ground turkey	PDT000394850.1	ciprofloxacin	susceptible	==	0.03	NA	Sensititre	Trek	GM-NEG	CLSI	2018-10-23T15:35:17Z
